sample_index,class,psd_35hz,psd_40hz,psd_45hz,total_power
1,background,237.1863185602,204.4137882005,157.6087965682,55743384482.0000000000
2,background,2464.5040008806,1199.0042391976,162.2718312227,58701277688.0000000000
3,background,4014.6173784094,6228.9448534854,14856.1725234788,53363640157.0000000000
4,lexus,69671.8063369852,68943.6055169795,36662.3313554118,53947101413.0000000000
5,lexus,550783.7374460225,262175.3645487337,169854.3063144242,53242949270.0000000000
6,lexus,9298.7184290223,5847.0318564483,81566.0135450722,55382208841.0000000000
7,mazda,28123.3403176566,6522.9638336677,1862.1451284686,53911437141.0000000000
8,mazda,62378.1995265577,16260.8750602673,7471.7020885203,56564369688.0000000000
9,mazda,123189.2071157639,130364.9590482104,14493.0907755741,53506154703.0000000000
