sample_index,class,psd_35hz,psd_40hz,psd_45hz,total_power
1,background,0.9751889192,0.0006828505,0.0025579294,1.0000000000
2,background,0.9968676500,0.0040131794,0.0026337669,1.0000000000
3,background,1.0000000000,0.0208556463,0.2416086312,1.0000000000
4,lexus,1.0000000000,0.2308520803,0.5962540013,1.0000000000
5,lexus,1.0000000000,0.8778775112,1.0000000000,1.0000000000
6,lexus,1.0000000000,0.0195768326,1.0000000000,1.0000000000
7,mazda,1.0000000000,0.0218401519,0.0302797269,1.0000000000
8,mazda,1.0000000000,0.0544469876,0.1215109895,1.0000000000
9,mazda,1.0000000000,0.4365179498,0.2357036361,1.0000000000
